0.04,0.015,0,0
0.04,0.03,0,0
0.04,0.045,0,0
0.04,0.06,0,0
0.04,0.075,0,0
0.04,0.09,0,0
0.04,0.105,0,0
0.04,0.12,0,0
0.04,0.135,0,0
0.04,0.15,0,0
0.04,0.165,0,0
0.04,0.18,0,0
0.04,0.195,0,0
0.04,0.21,0,0
0.04,0.225,0,0
0.04,0.24,0,0
0.04,0.255,0,0
0.04,0.27,0,0
0.04,0.285,0,0
0.04,0.3,0,0
0.04,0.315,0,0
0.04,0.33,0,0
0.04,0.345,0,0
0.04,0.36,0,0
0.04,0.375,0,0
0.04,0.39,0,0
0.04,0.405,0,0
0.04,0.42,0,0
0.04,0.435,0,0
0.04,0.45,0,0
0.04,0.465,0,0
0.04,0.48,0,0
0.04,0.495,0,0
0.04,0.51,0,0
0.04,0.525,0,0
0.04,0.54,0,0
0.04,0.555,0,0
0.04,0.57,0,0
0.04,0.585,0,0
0.04,0.6,0,0
0.04,0.615,0,0
0.04,0.63,0,0
0.04,0.645,0,0
0.04,0.66,0,0
0.04,0.675,0,0
0.04,0.69,0,0
0.04,0.705,0,0
0.04,0.72,0,0
0.04,0.735,0,0
0.04,0.75,0,0
0.04,0.765,0,0
0.04,0.78,0,0
0.04,0.795,0,0
0.04,0.81,0,0
0.04,0.825,0,0
0.04,0.84,0,0
0.04,0.855,0,0
0.04,0.87,0,0
0.04,0.885,0,0
0.04,0.9,0,0
0.04,0.915,0,0
0.04,0.93,0,0
0.04,0.945,0,0
0.04,0.96,0,0
0.04,0.975,0,0
0.04,0.99,0,0
0.04,1.005,0,0
0.04,1.02,0,0
0.04,1.035,0,0
0.04,1.05,0,0
0.04,1.065,0,0
0.04,1.08,0,0
0.04,1.095,0,0
0.04,1.11,0,0
0.04,1.125,0,0
0.04,1.14,0,0
0.04,1.155,0,0
0.04,1.17,0,0
0.04,1.185,0,0
0.04,1.2,0,0
0.04,1.215,0,0
0.04,1.23,0,0
0.04,1.245,0,0
0.04,1.26,0,0
0.04,1.275,0,0
0.04,1.29,0,0
0.04,1.305,0,0
0.04,1.32,0,0
0.04,1.335,0,0
0.04,1.35,0,0
0.04,1.365,0,0
0.04,1.38,0,0
0.04,1.395,0,0
0.04,1.41,0,0
0.04,1.425,0,0
0.04,1.44,0,0
0.04,1.455,0,0
0.04,1.47,0,0
0.04,1.485,0,0
0.04,1.5,0,0
0.04,1.515,0,0
0.04,1.53,0,0
0.04,1.545,0,0
0.04,1.56,0,0
0.04,1.575,0,0
0.04,1.59,0,0
0.04,1.605,0,0
0.04,1.62,0,0
0.04,1.635,0,0
0.04,1.65,0,0
0.04,1.665,0,0
0.04,1.68,0,0
0.04,1.695,0,0
0.04,1.71,0,0
0.04,1.725,0,0
0.04,1.74,0,0
0.04,1.755,0,0
0.04,1.77,0,0
0.04,1.785,0,0
0.04,1.8,0,0
0.04,1.815,0,0
0.04,1.83,0,0
0.04,1.845,0,0
0.04,1.86,0,0
0.04,1.875,0,0
0.04,1.89,0,0
0.04,1.905,0,0
0.04,1.92,0,0
0.04,1.935,0,0
0.04,1.95,0,0
0.04,1.965,0,0
0.04,1.98,0,0
0.04,1.995,0,0
0.04,2.01,0,0
0.04,2.025,0,0
0.04,2.04,0,0
0.04,2.055,0,0
0.04,2.07,0,0
0.04,2.085,0,0
0.04,2.1,0,0
0.04,2.115,0,0
0.04,2.13,0,0
0.04,2.145,0,0
0.04,2.16,0,0
0.04,2.175,0,0
0.04,2.19,0,0
0.04,2.205,0,0
0.04,2.22,0,0
0.04,2.235,0,0
0.04,2.25,0,0
0.04,2.265,0,0
0.04,2.28,0,0
0.04,2.295,0,0
0.04,2.31,0,0
0.04,2.325,0,0
0.04,2.34,0,0
0.04,2.355,0,0
0.04,2.37,0,0
0.04,2.385,0,0
0.04,2.4,0,0
0.04,2.415,0,0
0.04,2.43,0,0
0.04,2.445,0,0
0.04,2.46,0,0
0.04,2.475,0,0
0.04,2.49,0,0
0.04,2.505,0,0
0.04,2.52,0,0
0.04,2.535,0,0
0.04,2.55,0,0
0.04,2.565,0,0
0.04,2.58,0,0
0.04,2.595,0,0
0.04,2.61,0,0
0.04,2.625,0,0
0.04,2.64,0,0
0.04,2.655,0,0
0.04,2.67,0,0
0.04,2.685,0,0
0.04,2.7,0,0
0.04,2.715,0,0
0.04,2.73,0,0
0.04,2.745,0,0
0.04,2.76,0,0
0.04,2.775,0,0
0.04,2.79,0,0
0.04,2.805,0,0
0.04,2.82,0,0
0.04,2.835,0,0
0.04,2.85,0,0
0.04,2.865,0,0
0.04,2.88,0,0
0.04,2.895,0,0
0.04,2.91,0,0
0.04,2.925,0,0
0.04,2.94,0,0
0.04,2.955,0,0
0.04,2.97,0,0
0.04,2.985,0,0
0.04,3,0,0
0.04,3.015,0,0
0.08,0.015,0,0
0.08,0.03,0,0
0.08,0.045,0,0
0.08,0.06,0,0
0.08,0.075,0,0
0.08,0.09,0,0
0.08,0.105,0,0
0.08,0.12,0,0
0.08,0.135,0,0
0.08,0.15,0,0
0.08,0.165,0,0
0.08,0.18,0,0
0.08,0.195,0,0
0.08,0.21,0,0
0.08,0.225,0,0
0.08,0.24,0,0
0.08,0.255,0,0
0.08,0.27,0,0
0.08,0.285,0,0
0.08,0.3,0,0
0.08,0.315,0,0
0.08,0.33,0,0
0.08,0.345,0,0
0.08,0.36,0,0
0.08,0.375,0,0
0.08,0.39,0,0
0.08,0.405,0,0
0.08,0.42,0,0
0.08,0.435,0,0
0.08,0.45,0,0
0.08,0.465,0,0
0.08,0.48,0,0
