step,value
100.0,4.7424715376109816e-05
200.0,6.827538527431898e-06
300.0,2.8837230274803005e-06
400.0,1.6886372122826288e-06
500.0,1.116823057145666e-06
600.0,8.678242693349603e-07
700.0,7.341487275880354e-07
800.0,5.763540684711188e-07
900.0,5.10323616254027e-07
1000.0,4.2912726883059804e-07
1100.0,3.977848450631427e-07
1200.0,3.422068601821593e-07
1300.0,3.21644151313194e-07
1400.0,3.030668409564896e-07
1500.0,2.7271656222183083e-07
1600.0,2.4478136140260176e-07
1700.0,2.357087822701942e-07
1800.0,2.3880867416892215e-07
1900.0,2.311474105454181e-07
2000.0,2.2480741534991466e-07
2100.0,2.1335296906954682e-07
2200.0,2.0721967786130335e-07
2300.0,1.9835049869243448e-07
2400.0,2.002991053018377e-07
2500.0,1.8805916823794178e-07
2600.0,1.8422218062141837e-07
2700.0,2.0991603832953842e-07
2800.0,1.8740379914561345e-07
2900.0,1.816032764168085e-07
3000.0,1.6477896735977993e-07
3100.0,1.7621201919837404e-07
3200.0,1.6142269032570766e-07
3300.0,1.7271137409125004e-07
3400.0,1.7077455538583308e-07
3500.0,1.7080839143090998e-07
3600.0,1.7610359037689705e-07
3700.0,1.7298530252674027e-07
3800.0,1.6820652604110364e-07
3900.0,1.5590217827821107e-07
4000.0,1.6157624571633278e-07
4100.0,1.581794819571769e-07
4200.0,1.6074483255579253e-07
4300.0,1.5019670485116876e-07
4400.0,1.4663464042996566e-07
4500.0,1.535904914362618e-07
4600.0,1.6387533463557702e-07
4700.0,1.5067970338122905e-07
4800.0,1.4995035257925338e-07
4900.0,1.6211925668585536e-07
5000.0,1.5101366557246365e-07
5100.0,1.5162859767769987e-07
5200.0,1.5701340316809365e-07
5300.0,1.4735127251697122e-07
5400.0,1.4736142617266523e-07
5500.0,1.4280031734870136e-07
5600.0,1.5476448567142143e-07
5700.0,1.442202375301349e-07
5800.0,1.4499313749638532e-07
5900.0,1.4707816831105447e-07
6000.0,1.456871245864022e-07
6100.0,1.4534033709878713e-07
6200.0,1.4465246778172514e-07
6300.0,1.5485287718774998e-07
6400.0,1.5422845933699136e-07
6500.0,1.4065491171777467e-07
6600.0,1.473984525546257e-07
6700.0,1.4706161977073862e-07
6800.0,1.3708574186921396e-07
6900.0,1.4386412772182666e-07
7000.0,1.392167945368783e-07
7100.0,1.5041089795886364e-07
7200.0,1.412380186138762e-07
7300.0,1.4102230494472678e-07
7400.0,1.448784772151157e-07
7500.0,1.403724567694553e-07
7600.0,1.3356616079818195e-07
7700.0,1.428212428322695e-07
7800.0,1.4494832356604093e-07
7900.0,1.4836483330782357e-07
8000.0,1.3545643184897926e-07
