step,value
100.0,0.3136894404888153
200.0,0.27648353576660156
300.0,0.260241761803627
400.0,0.2522621303796768
500.0,0.24941592663526535
600.0,0.24811679869890213
700.0,0.24654515087604523
800.0,0.24419555813074112
900.0,0.23926599323749542
1000.0,0.23433298617601395
1100.0,0.22935673594474792
1200.0,0.22506693750619888
1300.0,0.21516737341880798
1400.0,0.2048589363694191
1500.0,0.19494634866714478
1600.0,0.18839755654335022
1700.0,0.1805192455649376
1800.0,0.17190416902303696
1900.0,0.16594184190034866
2000.0,0.1613183096051216
2100.0,0.15949061512947083
2200.0,0.15605159103870392
2300.0,0.15461307018995285
2400.0,0.1533229872584343
2500.0,0.15241263061761856
2600.0,0.14940224587917328
2700.0,0.14040390402078629
2800.0,0.13329551368951797
2900.0,0.12468744814395905
3000.0,0.11468615755438805
3100.0,0.10573281347751617
3200.0,0.09787920862436295
3300.0,0.08777356520295143
3400.0,0.08001147955656052
3500.0,0.07226063683629036
3600.0,0.06760632991790771
3700.0,0.06547128036618233
3800.0,0.06515252590179443
3900.0,0.06489943340420723
4000.0,0.06461735814809799
4100.0,0.06437718868255615
4200.0,0.06409505382180214
4300.0,0.06395469978451729
4400.0,0.06374423205852509
4500.0,0.06336949020624161
4600.0,0.06301086768507957
4700.0,0.06285648792982101
4800.0,0.06227181479334831
4900.0,0.06218813359737396
5000.0,0.06121492013335228
5100.0,0.06040560267865658
5200.0,0.057732490822672844
5300.0,0.05587444268167019
5400.0,0.05457708425819874
5500.0,0.05367874167859554
5600.0,0.05176563747227192
5700.0,0.05038073472678661
5800.0,0.04731827229261398
5900.0,0.045969828963279724
6000.0,0.04382961057126522
6100.0,0.041905930265784264
6200.0,0.04114946909248829
6300.0,0.040518730878829956
6400.0,0.03982528671622276
6500.0,0.03914625942707062
6600.0,0.03855404816567898
6700.0,0.03797736018896103
6800.0,0.03736360743641853
6900.0,0.03681205213069916
7000.0,0.03530953638255596
7100.0,0.03452257439494133
7200.0,0.03402165696024895
7300.0,0.0335872508585453
7400.0,0.03312021493911743
7500.0,0.032683245837688446
7600.0,0.03220502287149429
7700.0,0.03166740108281374
7800.0,0.03106532897800207
7900.0,0.03044932149350643
8000.0,0.02978706732392311
