step,value
100.0,0.00849005114287138
200.0,0.0022619767114520073
300.0,0.0005769144336227328
400.0,0.0002461158874211833
500.0,0.00013201282126829028
600.0,8.864545452524908e-05
700.0,6.983763887546957e-05
800.0,5.910645268158987e-05
900.0,3.980665496783331e-05
1000.0,3.229583307984285e-05
1100.0,2.7275626052869484e-05
1200.0,1.970363882719539e-05
1300.0,1.7748542632034514e-05
1400.0,1.6998694263747893e-05
1500.0,1.558967323944671e-05
1600.0,1.2330236586421961e-05
1700.0,1.119965691032121e-05
1800.0,9.652732842369005e-06
1900.0,9.904419584927382e-06
2000.0,8.246782726928359e-06
2100.0,7.46681530472415e-06
2200.0,7.570993147965055e-06
2300.0,7.3553446782170795e-06
2400.0,6.907666602273821e-06
2500.0,7.2075845309882425e-06
2600.0,6.562965381817776e-06
2700.0,6.124859964984353e-06
2800.0,5.872933343198383e-06
2900.0,5.673447049048264e-06
3000.0,5.631702833852614e-06
3100.0,5.258744522507186e-06
3200.0,5.2818113545072265e-06
3300.0,4.7336156967503484e-06
3400.0,4.1532186969561735e-06
3500.0,4.202763193461578e-06
3600.0,3.880825715896208e-06
3700.0,4.0835202526068315e-06
3800.0,4.242904878992704e-06
3900.0,4.497034979067394e-06
4000.0,3.6555883298206027e-06
4100.0,4.006887593277497e-06
4200.0,3.596431724872673e-06
4300.0,3.76170407889731e-06
4400.0,3.523710347508313e-06
4500.0,3.4437119893482304e-06
4600.0,3.4301519917789847e-06
4700.0,3.6671158341050614e-06
4800.0,3.42039766110247e-06
4900.0,3.463993266450416e-06
5000.0,3.079814177908702e-06
5100.0,3.2430664305138635e-06
5200.0,3.1533144237982924e-06
5300.0,2.9885407002439024e-06
5400.0,2.8048162903360208e-06
5500.0,2.7492386607264052e-06
5600.0,2.7374036335459095e-06
5700.0,2.6719565084931673e-06
5800.0,2.70010684744193e-06
5900.0,2.5800117100516218e-06
6000.0,2.3749737465550425e-06
6100.0,2.535228190936323e-06
6200.0,2.50951688940404e-06
6300.0,2.1155980221010395e-06
6400.0,2.4852588467183523e-06
6500.0,2.569926664364175e-06
6600.0,2.103378164974856e-06
6700.0,2.522455133657786e-06
6800.0,2.320777980457933e-06
6900.0,2.407473289167683e-06
7000.0,2.2949012645767652e-06
7100.0,2.375191570536117e-06
7200.0,2.2444015712608234e-06
7300.0,2.3437002028003917e-06
7400.0,2.213959305663593e-06
7500.0,2.210426828241907e-06
7600.0,2.1741852833656594e-06
7700.0,2.2727970190317137e-06
7800.0,1.999261826313159e-06
7900.0,1.940339302564098e-06
8000.0,1.9196639868823695e-06
