step,value
100.0,0.1091957725584507
200.0,0.001318302529398352
300.0,0.0003038309805560857
400.0,0.00013249900803202763
500.0,8.366758993361145e-05
600.0,6.367681271512993e-05
700.0,4.7447609176742844e-05
800.0,3.912577813025564e-05
900.0,3.320007090223953e-05
1000.0,2.9441281185427215e-05
1100.0,2.6291967515135184e-05
1200.0,2.3767201128066517e-05
1300.0,2.1836341147718485e-05
1400.0,2.0892925931548234e-05
1500.0,1.894010893011e-05
1600.0,1.7793727238313295e-05
1700.0,1.7365790881740395e-05
1800.0,1.6637975932098925e-05
1900.0,1.65214623848442e-05
2000.0,1.578010505909333e-05
2100.0,1.568235529703088e-05
2200.0,1.559743486723164e-05
2300.0,1.4885829386912519e-05
2400.0,1.4498446034849621e-05
2500.0,1.457274174754275e-05
2600.0,1.4170493614074076e-05
2700.0,1.4324723906611325e-05
2800.0,1.4292334071797086e-05
2900.0,1.454376297260751e-05
3000.0,1.4523523077514255e-05
3100.0,1.5109668765944662e-05
3200.0,1.4368175015988527e-05
3300.0,1.3783077974949265e-05
3400.0,1.4071072655497119e-05
3500.0,1.4168449524731841e-05
3600.0,1.4330080375657417e-05
3700.0,1.3869619124307064e-05
3800.0,1.4844865745544666e-05
3900.0,1.3821486390952487e-05
4000.0,1.4077688774705166e-05
4100.0,1.386533358527231e-05
4200.0,1.4146536614134675e-05
4300.0,1.4033936622581678e-05
4400.0,1.3671362921741093e-05
4500.0,1.3760753517999547e-05
4600.0,1.3223756468505599e-05
4700.0,1.3641779332829174e-05
4800.0,1.2991347830393352e-05
4900.0,1.3310071608430007e-05
5000.0,1.3026572560193017e-05
5100.0,1.261910119865206e-05
5200.0,1.2476005849748617e-05
5300.0,1.2181226793472888e-05
5400.0,1.1880139936693013e-05
5500.0,1.1827189155155793e-05
5600.0,1.185044629892218e-05
5700.0,1.1235611509619048e-05
5800.0,1.12470775093243e-05
5900.0,1.144141424447298e-05
6000.0,1.1427560366428224e-05
6100.0,1.1059660209866706e-05
6200.0,1.1087818620580947e-05
6300.0,1.0906141596933594e-05
6400.0,1.0416040822747163e-05
6500.0,1.0084631412610179e-05
6600.0,9.308287189924158e-06
6700.0,9.9059934655088e-06
6800.0,9.728295026434353e-06
6900.0,9.246511126548285e-06
7000.0,9.47807757256669e-06
7100.0,8.700962098373566e-06
7200.0,8.799479928711662e-06
7300.0,8.17500085759093e-06
7400.0,8.616786089987727e-06
7500.0,8.204017376556294e-06
7600.0,8.264233201771276e-06
7700.0,7.61035994401027e-06
7800.0,7.747321433271281e-06
7900.0,7.558913921457133e-06
8000.0,7.049393616398447e-06
