step,value
100.0,0.007626515347510576
200.0,0.0012130701215937734
300.0,0.00014041842223377898
400.0,5.623512697638944e-05
500.0,5.185403279028833e-05
600.0,3.895433110301383e-05
700.0,2.419703105260851e-05
800.0,1.8077734239341225e-05
900.0,1.5227361018332886e-05
1000.0,1.4666571132693207e-05
1100.0,1.3093367670080625e-05
1200.0,1.2825827070628293e-05
1300.0,9.721062269818503e-06
1400.0,9.177163519780152e-06
1500.0,6.955600611036061e-06
1600.0,6.0654160733975004e-06
1700.0,5.471223175845807e-06
1800.0,5.177412276680116e-06
1900.0,4.9505115384818055e-06
2000.0,4.8448910092702135e-06
2100.0,4.881769200437702e-06
2200.0,5.316072702044039e-06
2300.0,5.172941655473551e-06
2400.0,4.871731789535261e-06
2500.0,4.337418658906245e-06
2600.0,4.171125738139381e-06
2700.0,4.130899696974666e-06
2800.0,4.160851631240803e-06
2900.0,3.7912245716142934e-06
3000.0,3.7767171079394757e-06
3100.0,3.481917019598768e-06
3200.0,3.4774532196024666e-06
3300.0,3.829525894616381e-06
3400.0,3.665686676868063e-06
3500.0,4.128974978812039e-06
3600.0,3.484578883217182e-06
3700.0,3.5833935498885694e-06
3800.0,3.886730837621144e-06
3900.0,3.914647550118389e-06
4000.0,3.3195150308529264e-06
4100.0,3.4843184266719618e-06
4200.0,3.184205752404523e-06
4300.0,3.2758248380559962e-06
4400.0,3.1510360258835135e-06
4500.0,2.9040149911452318e-06
4600.0,2.991265546370414e-06
4700.0,2.5802095251492574e-06
4800.0,2.3645318378839875e-06
4900.0,2.26307258799352e-06
5000.0,2.0544702010738547e-06
5100.0,1.9378544493520167e-06
5200.0,1.8832245700650674e-06
5300.0,2.054851051980222e-06
5400.0,1.4041370945960807e-06
5500.0,1.3178906783650746e-06
5600.0,1.6169382206498994e-06
5700.0,1.538428705316619e-06
5800.0,1.793501269276021e-06
5900.0,2.0110629179725947e-06
6000.0,1.822247213567607e-06
6100.0,1.92197273918282e-06
6200.0,1.7174977529066382e-06
6300.0,1.7439773500882438e-06
6400.0,1.911589322389773e-06
6500.0,1.7330458490505407e-06
6600.0,1.6397594322370423e-06
6700.0,1.6367094985980657e-06
6800.0,1.5076937529556744e-06
6900.0,1.6001729932213493e-06
7000.0,1.6372350728488527e-06
7100.0,1.648915485930047e-06
7200.0,1.439399454739032e-06
7300.0,1.516785346211691e-06
7400.0,1.4316702277028526e-06
7500.0,1.4924974038876826e-06
7600.0,1.3345347724680323e-06
7700.0,1.7763444475349388e-06
7800.0,1.2882958344562212e-06
7900.0,1.4375828527590784e-06
8000.0,1.454225809993659e-06
