step,value
100.0,0.005987343145534396
200.0,0.0012719801743514836
300.0,0.0002862425026251003
400.0,0.00013761246373178437
500.0,0.00010980595834553242
600.0,8.244285709224641e-05
700.0,7.686153185204603e-05
800.0,6.828872938058339e-05
900.0,6.319094973150641e-05
1000.0,5.822134517075028e-05
1100.0,5.2083029004279524e-05
1200.0,4.9258049330092035e-05
1300.0,4.376232209324371e-05
1400.0,4.2216915971948765e-05
1500.0,3.8533051338163204e-05
1600.0,3.479381666693371e-05
1700.0,3.152890167257283e-05
1800.0,2.795080126816174e-05
1900.0,2.5994962015829515e-05
2000.0,2.490226961526787e-05
2100.0,2.486865378159564e-05
2200.0,2.4167276933440007e-05
2300.0,2.2920595256437082e-05
2400.0,2.1872451725357678e-05
2500.0,2.1760956769867335e-05
2600.0,2.1206297788012307e-05
2700.0,1.9213744963053614e-05
2800.0,1.7513813872938044e-05
2900.0,1.7101840967370663e-05
3000.0,1.563449313835008e-05
3100.0,1.590304373166873e-05
3200.0,1.567491653986508e-05
3300.0,1.5146564692258835e-05
3400.0,1.398533731844509e-05
3500.0,1.3530190699384548e-05
3600.0,1.2998321381019196e-05
3700.0,1.3309580936038401e-05
3800.0,1.2456630884116748e-05
3900.0,1.2041456557199126e-05
4000.0,1.1303406608931255e-05
4100.0,1.1211949640710372e-05
4200.0,1.0825026947713923e-05
4300.0,1.040969300447614e-05
4400.0,1.0013129667640897e-05
4500.0,9.503294677415397e-06
4600.0,9.315493116446305e-06
4700.0,9.36909827942145e-06
4800.0,8.646133665024536e-06
4900.0,8.777903985901503e-06
5000.0,8.182723377103684e-06
5100.0,8.21949197415961e-06
5200.0,7.729136996204033e-06
5300.0,7.691317023272859e-06
5400.0,7.077780765030184e-06
5500.0,6.893790441608871e-06
5600.0,6.717042651871452e-06
5700.0,6.710874458804028e-06
5800.0,6.2479061853082385e-06
5900.0,6.32317778581637e-06
6000.0,6.599712605748209e-06
6100.0,6.4250314153468935e-06
6200.0,6.138374828879023e-06
6300.0,5.864538479727344e-06
6400.0,5.819099897053093e-06
6500.0,5.5195407639985206e-06
6600.0,5.244864723863429e-06
6700.0,5.061945785200805e-06
6800.0,4.862735522692674e-06
6900.0,4.673484227168956e-06
7000.0,4.510840881266631e-06
7100.0,4.406394509715028e-06
7200.0,4.563958782455302e-06
7300.0,4.561016339721391e-06
7400.0,4.436674771568505e-06
7500.0,4.315063733884017e-06
7600.0,4.106296046302305e-06
7700.0,4.125589384784689e-06
7800.0,3.876185928675113e-06
7900.0,3.871796252497006e-06
8000.0,3.805717710747558e-06
