step,value
100.0,0.5760526061058044
200.0,0.5247864723205566
300.0,0.5072527527809143
400.0,0.5023435056209564
500.0,0.4965106099843979
600.0,0.49100160598754883
700.0,0.4837803393602371
800.0,0.4786045104265213
900.0,0.4750867187976837
1000.0,0.4713413417339325
1100.0,0.4670421928167343
1200.0,0.45779000222682953
1300.0,0.44965270161628723
1400.0,0.442727729678154
1500.0,0.43195803463459015
1600.0,0.42245469987392426
1700.0,0.4138650894165039
1800.0,0.3995535671710968
1900.0,0.3827000707387924
2000.0,0.3665010333061218
2100.0,0.3517812192440033
2200.0,0.3345910906791687
2300.0,0.3158964514732361
2400.0,0.29804831743240356
2500.0,0.28085240721702576
2600.0,0.25781427323818207
2700.0,0.24637146294116974
2800.0,0.23101161420345306
2900.0,0.21436350792646408
3000.0,0.20047161728143692
3100.0,0.1787595972418785
3200.0,0.1583608165383339
3300.0,0.14432016015052795
3400.0,0.13227805495262146
3500.0,0.1177840307354927
3600.0,0.10477270931005478
3700.0,0.0928678885102272
3800.0,0.08348093554377556
3900.0,0.07535499706864357
4000.0,0.0691746324300766
4100.0,0.06408020481467247
4200.0,0.059101853519678116
4300.0,0.055364059284329414
4400.0,0.05343864671885967
4500.0,0.052068259567022324
4600.0,0.051107676699757576
4700.0,0.04963565059006214
4800.0,0.04861694946885109
4900.0,0.04770011454820633
5000.0,0.04665904492139816
5100.0,0.04336916096508503
5200.0,0.0374289657920599
5300.0,0.034474365413188934
5400.0,0.0316108763217926
5500.0,0.02994344662874937
5600.0,0.028484736569225788
5700.0,0.02599870227277279
5800.0,0.025348239578306675
5900.0,0.024553965777158737
6000.0,0.0234338091686368
6100.0,0.022379889152944088
6200.0,0.021874944679439068
6300.0,0.020716208033263683
6400.0,0.019384663552045822
6500.0,0.017017359845340252
6600.0,0.015494571533054113
6700.0,0.01436122739687562
6800.0,0.013467974029481411
6900.0,0.012310078833252192
7000.0,0.011743133421987295
7100.0,0.011388086713850498
7200.0,0.010985315777361393
7300.0,0.01057242276147008
7400.0,0.009667396545410156
7500.0,0.009392507839947939
7600.0,0.009020666591823101
7700.0,0.008637452498078346
7800.0,0.00840354710817337
7900.0,0.007787410402670503
8000.0,0.007169518852606416
