Wall time,Step,Value
1746178070.2758255,6,2.606517791748047
1746178071.5152225,19,2.313793897628784
1746178072.084065,25,2.210153341293335
1746178073.5725484,41,1.9682722091674805
1746178073.7540786,43,1.9401811361312866
1746178074.0289974,46,1.898903727531433
1746178074.7646818,54,1.7938082218170166
1746178075.051491,57,1.7556359767913818
1746178076.4408004,72,1.5806915760040283
1746178076.7230906,75,1.5487185716629028
1746178078.5862975,95,1.3584275245666504
1746178079.5288653,103,1.2939707040786743
1746178079.9170334,107,1.263967752456665
1746178081.8002715,127,1.1350135803222656
1746178083.0307758,140,1.0676195621490479
1746178084.5508754,156,0.9987317323684692
1746178084.8325658,159,0.9874619245529175
1746178085.654456,168,0.9556974768638611
1746178086.6875236,179,0.9211611747741699
1746178087.1450999,184,0.9070471525192261
1746178087.327031,186,0.9015253782272339
1746178087.417338,187,0.8989048600196838
1746178087.7827263,191,0.8884261250495911
1746178089.5595813,208,0.8487854599952698
1746178091.6250784,230,0.806847870349884
1746178092.0909832,235,0.7985206246376038
1746178093.4731815,250,0.7756458520889282
1746178094.0270057,256,0.7675239443778992
1746178094.4858742,261,0.7608903646469116
1746178095.1328003,268,0.7521474361419678
1746178095.4987404,272,0.7475634217262268
1746178095.68333,274,0.7451976537704468
1746178097.4468546,293,0.7247944474220276
1746178099.153903,309,0.7097654342651367
1746178099.3408778,311,0.7080621123313904
1746178100.0896623,319,0.7013266086578369
1746178101.2034225,331,0.6916661858558655
1746178102.0483267,340,0.6852700710296631
1746178102.7745895,348,0.6793864369392395
1746178104.2667713,364,0.6691102385520935
1746178104.648851,368,0.6666046380996704
1746178109.8798344,422,0.6381562948226929
1746178109.9759943,423,0.6375702023506165
1746178111.5474432,440,0.630330502986908
1746178111.8175833,443,0.6290016174316406
1746178112.0904875,446,0.6278982758522034
1746178113.4684398,461,0.6217922568321228
1746178113.7525344,464,0.6203173398971558
1746178113.8476818,465,0.6202318072319031
1746178114.7872787,475,0.616562008857727
1746178116.366997,492,0.6104674935340881
1746178116.5499775,494,0.6097007393836975
1746178118.7317877,515,0.6028996109962463
1746178119.0158045,518,0.6019841432571411
1746178120.3329327,532,0.597287118434906
1746178120.804913,537,0.5959563255310059
1746178123.3179574,564,0.588118851184845
1746178124.2368968,574,0.5855572819709778
1746178124.7829623,580,0.5838301181793213
1746178124.966415,582,0.5834572315216064
1746178125.416443,587,0.5819717049598694
1746178125.505184,588,0.5818552374839783
1746178127.0709755,603,0.5777245163917542
1746178128.749648,621,0.5736128091812134
1746178128.9404857,623,0.5731407999992371
1746178130.0619476,635,0.5698806047439575
1746178130.7447577,642,0.5685295462608337
1746178130.8413768,643,0.5681867003440857
1746178131.0270853,645,0.5679304003715515
1746178131.3076997,648,0.5670815110206604
1746178131.4974542,650,0.5665945410728455
1746178132.611981,662,0.5641427040100098
1746178133.5438907,672,0.5617945790290833
1746178134.6644144,684,0.5587306618690491
1746178135.1280034,689,0.5579662322998047
